CustomerKey;FullName;Sex;BirthDate;Age;YearlyIncome;TotalChildren;City;CountryRegionName;DateFirstPurchase
11072;Casey Luo;Female;1960-08-05;64;80000,00;2;St. Leonards;Australia;2021-03-31
11073;Amy Ye;Female;1962-02-11;62;70000,00;2;Springwood;Australia;2023-03-23
11074;Levi Arun;Male;1962-02-25;62;70000,00;2;Cloverdale;Australia;2023-03-23
11075;Felicia Jimenez;Female;1963-05-16;61;80000,00;2;Bendigo;Australia;2021-04-28
11076;Blake Anderson;Male;1963-01-10;61;80000,00;2;Wollongong;Australia;2021-04-21
11077;Leah Ye;Female;1963-03-19;61;80000,00;2;Melton;Australia;2021-04-15
11078;Gina Martin;Female;1985-01-06;39;40000,00;0;Cliffside;Canada;2023-02-15
11079;Donald Gonzalez;Male;1970-03-07;54;160000,00;0;Geelong;Australia;2023-03-15
11080;Damien Chander;Male;1965-01-13;59;170000,00;0;Perth;Australia;2021-04-10
11081;Savannah Baker;Female;1972-01-21;52;120000,00;2;Concord;United States;2023-02-12
11082;Angela Butler;Female;1972-02-01;52;130000,00;0;Fremont;United States;2023-01-22
11083;Alyssa Cox;Female;1977-03-11;47;130000,00;0;Lincoln Acres;United States;2023-01-06
11084;Lucas Phillips;Male;1963-03-12;61;80000,00;2;Lebanon;United States;2023-01-04
11085;Emily Johnson;Female;1963-01-16;61;60000,00;2;Newport Beach;United States;2023-12-06
11086;Ryan Brown;Male;1963-06-22;61;70000,00;2;Santa Monica;United States;2023-07-02
11087;Tamara Liang;Female;1963-04-02;61;70000,00;3;Chula Vista;United States;2023-02-25
11088;Hunter Davis;Male;1963-05-25;61;80000,00;2;San Diego;United States;2023-01-13
11089;Abigail Price;Female;1962-08-05;62;80000,00;2;Long Beach;United States;2022-12-29
11090;Trevor Bryant;Male;1968-12-13;56;90000,00;2;Los Angeles;United States;2021-08-07
11091;Dalton Perez;Male;1962-10-02;62;90000,00;2;Haney;Canada;2023-01-29
11092;Cheryl Diaz;Female;1972-11-02;52;90000,00;2;East Brisbane;Australia;2021-04-08
11093;Aimee He;Female;1978-09-06;46;100000,00;0;Wollongong;Australia;2021-04-07
11094;Cedric Ma;Male;1967-09-29;57;70000,00;1;Cranbourne;Australia;2023-04-07
11095;Chad Kumar;Male;1968-02-29;56;70000,00;1;Port Macquarie;Australia;2021-04-01
11096;Andrés Anand;Male;1968-02-07;56;60000,00;1;North Sydney;Australia;2021-04-11
11097;Edwin Nara;Male;1972-10-23;52;60000,00;1;Warrnambool;Australia;2021-04-04
11098;Mallory Rubio;Female;1966-10-29;58;60000,00;1;Rhodes;Australia;2023-02-11
11099;Adam Ross;Male;1966-09-05;58;60000,00;1;Port Macquarie;Australia;2021-04-07
11100;Latasha Navarro;Female;1966-03-15;58;60000,00;1;Cloverdale;Australia;2021-04-16
11101;Abby Sai;Female;1970-11-05;54;70000,00;0;Cranbourne;Australia;2021-04-29
11102;Julia Nelson;Female;1970-10-19;54;80000,00;5;Sydney;Australia;2023-07-16
11103;Cassie Chande;Female;1981-04-12;43;70000,00;0;Darlinghurst;Australia;2021-04-15
11104;Edgar Sara;Male;1975-03-08;49;70000,00;0;Gold Coast;Australia;2021-05-04
11105;Candace Fernandez;Female;1970-06-27;54;70000,00;0;Matraville;Australia;2021-05-14
11106;Jessie Liu;Male;1970-03-11;54;70000,00;0;Warrnambool;Australia;2021-05-18
11107;Bianca Lin;Female;1976-03-04;48;90000,00;1;St. Leonards;Australia;2021-05-01
11108;Kari Alvarez;Female;1969-01-10;55;70000,00;0;Port Macquarie;Australia;2021-05-03
11109;Ruben Kapoor;Male;1980-04-30;44;70000,00;0;South Melbourne;Australia;2021-05-10
11110;Curtis Yang;Male;1967-12-04;57;60000,00;1;Darlinghurst;Australia;2021-05-01
11111;Meredith Gutierrez;Female;1967-08-23;57;60000,00;1;Geelong;Australia;2021-05-20
11112;Crystal Wang;Female;1968-03-08;56;60000,00;1;Hervey Bay;Australia;2021-05-25
11113;Micheal Blanco;Male;1973-02-17;51;70000,00;5;Perth;Australia;2023-02-01
11114;Leslie Moreno;Female;1967-11-25;57;70000,00;5;Rhodes;Australia;2023-03-18
11115;Alvin Cai;Male;1967-08-12;57;70000,00;5;St. Leonards;Australia;2023-02-10
11116;Clinton Carlson;Male;1979-04-02;45;70000,00;5;Sydney;Australia;2023-03-15
11117;April Deng;Female;1966-08-21;58;70000,00;5;Matraville;Australia;2021-05-06
11118;Alvin Zeng;Male;1962-12-31;62;80000,00;1;Lavender Bay;Australia;2023-07-10
11119;Evan James;Male;1940-10-07;84;30000,00;2;Port Macquarie;Australia;2023-02-03
11120;Beth Jiménez;Female;1942-02-06;82;40000,00;2;Sydney;Australia;2021-05-14
11121;Orlando Suarez;Male;1966-05-18;58;70000,00;5;Newcastle;Australia;2023-06-24
11122;Byron Vazquez;Male;1965-09-30;59;70000,00;5;North Sydney;Australia;2023-02-21
11123;Philip Alvarez;Male;1965-12-18;59;70000,00;5;Sunbury;Australia;2023-04-17
11124;Ross Jordan;Male;1968-07-23;56;80000,00;1;Warrnambool;Australia;2021-05-05
11125;Dana Navarro;Female;1961-10-06;63;70000,00;1;Seaford;Australia;2023-01-31
11126;Shaun Carson;Male;1954-10-05;70;10000,00;2;North Ryde;Australia;2021-05-28
11127;Jan Edwards;Female;1981-04-19;43;40000,00;0;San Gabriel;United States;2023-04-10
11128;Samantha Long;Female;1981-06-03;43;40000,00;0;Renton;United States;2023-06-19
11129;Julia Wright;Female;1981-02-01;43;40000,00;0;Sedro Woolley;United States;2021-08-06
11130;Caroline Russell;Female;1985-07-05;39;30000,00;0;Lebanon;United States;2023-12-09
11131;Amanda Rivera;Female;1985-09-09;39;30000,00;0;Haney;Canada;2023-10-18
11132;Melissa Richardson;Female;1986-04-25;38;30000,00;0;Langford;Canada;2023-04-09
11133;Angela Griffin;Female;1986-03-08;38;30000,00;0;Lake Oswego;United States;2023-12-30
11134;Larry Townsend;Male;1957-02-22;67;10000,00;5;Perth;Australia;2021-05-03
11135;Marcus Harris;Male;1985-05-02;39;30000,00;0;Burlingame;United States;2023-04-18
11136;Brianna Morgan;Female;1984-04-24;40;40000,00;0;Metchosin;Canada;2023-01-03
11137;Jasmine Taylor;Female;1984-01-17;40;40000,00;0;Spokane;United States;2023-07-31
11138;Lauren Davis;Female;1984-03-14;40;40000,00;0;Glendale;United States;2023-09-19
11139;Tanya Moreno;Female;1949-11-05;75;30000,00;2;Cloverdale;Australia;2023-09-14
11140;Javier Alvarez;Male;1982-08-11;42;30000,00;0;Burbank;United States;2023-03-19
11141;Nicole Ramirez;Female;1982-12-19;42;40000,00;0;Daly City;United States;2023-05-16
11142;Eduardo Patterson;Male;1983-02-11;41;40000,00;0;Langford;Canada;2023-02-13
11143;Jonathan Henderson;Male;1982-08-04;42;40000,00;0;Lakewood;United States;2023-06-15
11144;Edward Hernandez;Male;1985-03-08;39;40000,00;0;Ballard;United States;2023-01-25
11145;Jasmine Coleman;Female;1985-06-06;39;40000,00;0;Beaverton;United States;2023-01-25
11146;Karla Goel;Female;1945-02-22;79;40000,00;2;Matraville;Australia;2023-02-05
11147;Ernest Wu;Male;1944-08-04;80;60000,00;2;Warrnambool;Australia;2021-05-13
11148;Ross Vazquez;Male;1947-02-13;77;40000,00;2;East Brisbane;Australia;2023-03-07
11149;Theodore Gill;Male;1946-10-18;78;40000,00;2;Hervey Bay;Australia;2023-06-04
11150;Russell Shen;Male;1946-09-12;78;40000,00;2;Sunbury;Australia;2023-03-27
11151;Melinda Gill;Female;1947-08-25;77;60000,00;2;Sydney;Australia;2021-05-15
11152;James Williams;Male;1981-07-09;43;40000,00;0;Puyallup;United States;2023-01-09
11153;Angela James;Female;1981-12-21;43;40000,00;0;Renton;United States;2023-03-29
11154;Megan Walker;Female;1982-02-18;42;40000,00;0;Woodburn;United States;2023-01-10
11155;Hunter Robinson;Male;1981-07-25;43;40000,00;0;Burbank;United States;2023-01-06
11156;Maria Roberts;Female;1981-08-06;43;40000,00;0;Lakewood;United States;2023-01-08
11157;Hannah Long;Female;1980-12-08;44;40000,00;0;Tacoma;United States;2023-07-24
11158;Jason Wright;Male;1981-04-06;43;40000,00;0;San Gabriel;United States;2023-01-19
11159;Brianna Hughes;Female;1981-03-16;43;40000,00;0;Woodland Hills;United States;2023-09-08
11160;Maurice Tang;Male;1979-07-08;45;40000,00;0;Concord;United States;2023-02-21
11161;Emily Wood;Female;1979-10-20;45;40000,00;0;Concord;United States;2023-06-01
11162;Chase Cox;Male;1979-09-02;45;40000,00;0;La Jolla;United States;2023-02-18
11163;Gabriel Wang;Male;1980-06-18;44;40000,00;0;Spring Valley;United States;2023-05-01
11164;Devin Brooks;Male;1979-11-02;45;40000,00;0;Torrance;United States;2023-04-27
11165;Jocelyn Alexander;Female;1979-01-15;45;60000,00;0;Oakland;United States;2023-05-25
11166;Ashley Martinez;Female;1977-10-22;47;70000,00;0;Olympia;United States;2023-10-14
11167;Jasmine Barnes;Female;1978-01-29;46;80000,00;0;Issaquah;United States;2023-01-07
11168;David Rodriguez;Male;1973-11-12;51;80000,00;0;Oakland;United States;2023-01-15
11169;Bryce Richardson;Male;1973-12-20;51;90000,00;4;Coronado;United States;2023-05-26
11170;Carol Howard;Female;1973-08-04;51;90000,00;4;Burien;United States;2023-08-26
11171;Jonathan Hill;Male;1978-10-05;46;100000,00;1;Woodland Hills;United States;2021-08-20
11172;Gabrielle Adams;Female;1973-05-20;51;100000,00;1;Lynnwood;United States;2023-05-03
11173;Sarah Thomas;Female;1973-02-28;51;110000,00;0;W. Linn;United States;2023-03-02
11174;Nicholas Robinson;Male;1973-01-09;51;110000,00;0;Los Angeles;United States;2023-07-13
11175;Luis Wang;Male;1968-09-01;56;70000,00;0;Beverly Hills;United States;2021-08-28
11176;Mason Roberts;Male;1979-01-21;45;90000,00;4;Haney;Canada;2023-02-02
11177;Jose Flores;Male;1948-01-01;76;110000,00;2;San Diego;United States;2023-03-29
11178;Nathan Johnson;Male;1954-08-20;70;100000,00;2;Lakewood;United States;2023-02-21
11179;Molly Rodriguez;Female;1959-12-08;65;120000,00;2;Beverly Hills;United States;2023-03-12
11180;April Anand;Female;1948-07-01;76;160000,00;1;Chula Vista;United States;2023-03-17
11181;Devin Martin;Male;1960-02-01;64;170000,00;2;Los Angeles;United States;2023-05-07
11182;Stephanie Torres;Female;1950-02-22;74;70000,00;4;Sedro Woolley;United States;2023-08-28
11183;Jasmine Lee;Female;1950-01-12;74;70000,00;4;Santa Cruz;United States;2023-04-30
11184;Meghan Hernandez;Female;1955-11-13;69;70000,00;4;Concord;United States;2023-08-10
11185;Ashley Henderson;Female;1950-04-07;74;70000,00;4;Metchosin;Canada;2023-02-21
11186;Sarah Price;Female;1949-11-18;75;70000,00;4;Palo Alto;United States;2023-10-18
11187;Jennifer Cooper;Female;1949-08-21;75;60000,00;4;Burien;United States;2023-04-03
11188;Catherine Morris;Female;1950-03-06;74;60000,00;4;San Gabriel;United States;2023-11-01
11189;Lawrence Blanco;Male;1950-01-12;74;60000,00;4;Bellingham;United States;2021-08-26
11190;Carson Bryant;Male;1949-12-20;75;70000,00;5;Beverly Hills;United States;2023-08-28
11191;Kristi Perez;Female;1951-06-17;73;70000,00;5;Colma;United States;2021-08-11
11192;James Brown;Male;1951-03-13;73;60000,00;4;Seattle;United States;2023-06-23
11193;Ian Gray;Male;1950-08-13;74;60000,00;4;Woodburn;United States;2023-02-25
11194;Jacqueline Price;Female;1950-12-08;74;60000,00;4;Palo Alto;United States;2023-03-13
11195;Megan Henderson;Female;1951-08-10;73;60000,00;5;Renton;United States;2023-04-14
11196;Alfredo Romero;Male;1951-12-05;73;60000,00;5;Beaverton;United States;2023-03-03
11197;Andrea Morris;Female;1951-12-16;73;70000,00;3;Seattle;United States;2023-05-02
11198;Brooke Sanders;Female;1952-05-25;72;70000,00;4;Santa Cruz;United States;2023-02-05
11199;Jacqueline Bennett;Female;1957-11-02;67;70000,00;4;Burlingame;United States;2023-03-18
11200;Jason Griffin;Male;1953-05-21;71;70000,00;4;Victoria;Canada;2023-02-07
11201;Amanda Foster;Female;1953-02-14;71;70000,00;4;Santa Monica;United States;2023-07-01
11202;Alexia Price;Female;1958-08-22;66;80000,00;5;Lakewood;United States;2023-09-15
11203;Luis Diaz;Male;1959-08-18;65;40000,00;2;Port Hammond;Canada;2023-02-20
11204;Destiny Rivera;Female;1953-11-29;71;40000,00;2;Beaverton;United States;2023-08-09
11205;Abby Fernandez;Female;1954-01-21;70;40000,00;2;Burien;United States;2023-07-27
11206;Blake Flores;Male;1954-03-24;70;60000,00;2;Lynnwood;United States;2023-05-11
11207;Danielle Cox;Female;1954-01-16;70;60000,00;2;Renton;United States;2023-01-31
11208;Maria Reed;Female;1953-08-03;71;60000,00;2;Glendale;United States;2023-03-04
11209;Allison Evans;Female;1953-07-12;71;60000,00;2;Lincoln Acres;United States;2023-03-25
11210;Edward Wood;Male;1953-12-06;71;70000,00;4;West Covina;United States;2023-05-06
11211;Samantha Russell;Female;1960-10-08;64;40000,00;2;Haney;Canada;2023-02-01
11212;Chloe Campbell;Female;1955-05-05;69;40000,00;2;Metchosin;Canada;2023-01-30
11213;Stephanie Murphy;Female;1954-11-11;70;60000,00;2;Edmonds;United States;2023-03-28
11214;Charles Miller;Male;1955-05-07;69;60000,00;2;Milwaukie;United States;2023-08-14
11215;Ana Perry;Female;1961-06-17;63;40000,00;2;Royal Oak;Canada;2023-02-15
11216;Jasmine Torres;Female;1955-11-17;69;60000,00;2;Portland;United States;2021-08-15
11217;Natalie Adams;Female;1955-08-11;69;60000,00;2;Portland;United States;2021-08-10
11218;Olivia Brown;Female;1961-09-07;63;60000,00;2;Tacoma;United States;2023-02-28
11219;Charles Cook;Male;1956-05-31;68;60000,00;2;Woodburn;United States;2023-10-29
11220;Erica Huang;Female;1961-02-19;63;60000,00;2;Colma;United States;2023-03-14
11221;Nathan Perry;Male;1955-12-08;69;70000,00;4;Lakewood;United States;2023-04-07
11222;Alexandra Rivera;Female;1956-02-14;68;80000,00;3;Santa Monica;United States;2023-11-01
11223;Hailey Patterson;Female;1957-03-15;67;70000,00;2;Langley;Canada;2023-01-29
11224;Tiffany Li;Female;1957-03-05;67;70000,00;2;Burien;United States;2021-08-07
11225;Madison Lee;Female;1962-02-12;62;60000,00;2;Renton;United States;2023-06-22
11226;Sydney Ross;Female;1962-09-23;62;60000,00;2;W. Linn;United States;2023-02-21
11227;Marshall Chavez;Male;1962-08-08;62;60000,00;2;Colma;United States;2021-08-03
11228;Ashley Jones;Female;1956-10-16;68;60000,00;2;El Cajon;United States;2023-10-25
11229;Adrian Stewart;Male;1957-06-01;67;70000,00;4;Redwood City;United States;2023-07-27
11230;Amber Turner;Female;1956-09-30;68;70000,00;4;Santa Monica;United States;2023-07-16
11231;Dennis Zhang;Male;1963-11-11;61;60000,00;2;Bremerton;United States;2023-02-10
11232;Hailey Bryant;Female;1958-03-27;66;60000,00;3;Everett;United States;2023-09-20
11233;Todd Li;Male;1963-09-06;61;70000,00;4;Berkeley;United States;2023-02-08
11234;Anna Griffin;Female;1958-05-19;66;70000,00;4;Long Beach;United States;2023-02-08
11235;Angel Stewart;Male;1957-08-07;67;70000,00;4;Ballard;United States;2023-07-04
11236;Jeremy Butler;Male;1957-09-02;67;70000,00;5;Bellingham;United States;2023-10-03
11237;Clarence Anand;Male;1964-03-22;60;130000,00;2;Solingen;Germany;2021-09-05
11238;Mayra Prasad;Female;1964-02-07;60;130000,00;2;Birmingham;United Kingdom;2021-01-06
11239;Latoya Goel;Female;1969-10-02;55;130000,00;2;London;United Kingdom;2021-01-19
11240;Anne Hernandez;Female;1964-06-09;60;160000,00;2;Watford;United Kingdom;2021-02-27
11241;Lisa Cai;Female;1974-04-06;50;100000,00;2;Les Ulis;France;2022-09-10
11242;Larry Munoz;Male;1963-05-11;61;110000,00;2;Versailles;France;2022-09-19
11243;Robin Alvarez;Female;1963-04-08;61;150000,00;2;Esher-Molesey;United Kingdom;2021-02-21
11244;Alexis Coleman;Female;1968-11-22;56;170000,00;2;Runcorn;United Kingdom;2021-02-12
11245;Ricky Vazquez;Male;1962-04-26;62;120000,00;3;Hamburg;Germany;2021-09-26
11246;Latasha Rubio;Female;1962-04-08;62;120000,00;3;Hamburg;Germany;2021-10-03
11247;Claudia Zhou;Female;1961-12-04;63;130000,00;3;Lancaster;United Kingdom;2021-02-18
11248;Tristan Alexander;Male;1966-03-22;58;110000,00;3;Saint-Denis;France;2023-07-14
11249;Cindy Patel;Female;1966-07-09;58;130000,00;3;Sulzbach Taunus;Germany;2021-10-09
11250;Shannon Liu;Female;1966-03-08;58;170000,00;3;Woolston;United Kingdom;2021-03-17
11251;Xavier Long;Male;1938-01-01;86;30000,00;4;Haney;Canada;2023-10-18
11252;Nicholas Thompson;Male;1937-12-05;87;90000,00;3;Lemon Grove;United States;2021-08-14
11253;José Hernandez;Male;1949-08-24;75;60000,00;2;Victoria;Canada;2023-03-01
11254;Johnathan Vance;Male;1938-08-31;86;70000,00;4;Burien;United States;2023-11-23
11255;Colin Lin;Male;1938-10-02;86;70000,00;4;Burien;United States;2023-02-23
11256;Katelyn Hernandez;Female;1939-03-20;85;70000,00;4;Lynnwood;United States;2023-04-15
11257;Jacqueline Powell;Female;1938-07-06;86;120000,00;1;Newport Beach;United States;2021-08-24
11258;Xavier Hill;Male;1938-12-26;86;120000,00;1;Palo Alto;United States;2023-05-21
11259;Victoria Stewart;Female;1970-09-24;54;100000,00;4;Salem;United States;2021-09-04
11260;Katelyn Kelly;Female;1976-04-08;48;110000,00;2;Burlingame;United States;2023-02-05
11261;Stephanie Collins;Female;1970-10-22;54;130000,00;1;San Diego;United States;2021-09-27
11262;Jennifer Simmons;Female;1975-05-01;49;80000,00;4;Port Hammond;Canada;2023-02-27
11263;Trinity Richardson;Female;1970-03-11;54;90000,00;5;Burien;United States;2021-08-29
11264;Eduardo Martin;Male;1969-12-15;55;90000,00;5;Issaquah;United States;2023-01-02
11265;Elizabeth Jones;Female;1970-01-10;54;90000,00;5;Kirkland;United States;2023-01-03
11266;Taylor Howard;Female;1969-11-02;55;90000,00;0;Port Orchard;United States;2021-09-10
11267;David Diaz;Male;1975-09-29;49;120000,00;4;Burlingame;United States;2021-09-17
11268;Katelyn Carter;Female;1969-10-31;55;130000,00;2;Coronado;United States;2023-05-29
11269;Ryan Foster;Male;1975-10-10;49;130000,00;2;Daly City;United States;2023-08-22
11270;Robert Lee;Male;1975-05-01;49;130000,00;2;Lakewood;United States;2021-09-10
11271;Danielle Reed;Female;1969-12-03;55;150000,00;2;San Francisco;United States;2021-09-27
11272;Lauren Martinez;Female;1962-05-10;62;70000,00;4;Beverly Hills;United States;2021-09-19
11273;Nathan Lal;Male;1962-03-31;62;90000,00;2;La Jolla;United States;2023-05-14
11274;Kyle Foster;Male;1939-10-10;85;50000,00;2;Bellingham;United States;2021-08-29
11275;Jenny Rai;Female;1939-07-18;85;80000,00;4;Colma;United States;2021-08-30
11276;Nancy Chapman;Female;1974-09-15;50;80000,00;4;Cliffside;Canada;2023-01-29
11277;Charles Jackson;Male;1968-12-07;56;80000,00;4;Royal Oak;Canada;2023-02-02
11278;Jonathan Phillips;Male;1969-02-16;55;90000,00;0;Edmonds;United States;2021-09-16
11279;Amanda Cook;Female;1974-09-08;50;90000,00;0;Everett;United States;2023-03-03
11280;Robert Collins;Male;1969-02-17;55;90000,00;0;Lynnwood;United States;2023-07-01
11281;Megan Barnes;Female;1974-10-06;50;110000,00;4;Burbank;United States;2021-09-13
11282;Christian Thomas;Male;1967-07-16;57;90000,00;5;Burien;United States;2021-08-31
11283;Arturo Lal;Male;1968-04-24;56;110000,00;1;Berkeley;United States;2023-05-29
11284;Theresa Serrano;Female;1967-09-24;57;110000,00;1;Chula Vista;United States;2023-02-06
11285;Jeremy Anderson;Male;1973-03-15;51;120000,00;1;Fremont;United States;2023-07-27
11286;Hunter Griffin;Male;1967-08-31;57;170000,00;0;Torrance;United States;2021-09-21
11287;Henry Garcia;Male;1966-07-16;58;70000,00;5;Cliffside;Canada;2023-01-29
11288;Cindy Sanchez;Female;1978-03-12;46;110000,00;1;Burbank;United States;2023-03-05
11289;Maria Carter;Female;1972-03-03;52;130000,00;1;Downey;United States;2021-09-08
11290;Katelyn Sanchez;Female;1972-08-14;52;130000,00;1;Lakewood;United States;2021-09-20
11291;Jenna Wright;Female;1972-05-01;52;130000,00;1;Lemon Grove;United States;2021-09-04
11292;Seth Phillips;Male;1967-05-05;57;150000,00;1;San Gabriel;United States;2021-09-15
11293;Luke Long;Male;1960-11-23;64;60000,00;2;Port Orchard;United States;2023-02-24
11294;Dalton Clark;Male;1961-03-02;63;60000,00;2;Issaquah;United States;2023-09-25
11295;Taylor Lewis;Female;1959-11-13;65;80000,00;2;Concord;United States;2021-09-25
